,Walking,Walking upstairs,Walking downstairs,Sitting,Standing,Laying
Walking,0.6048387096774194,0.016129032258064516,0.004032258064516129,0.11895161290322581,0.2560483870967742,0.0
Walking upstairs,0.24203821656050956,0.5031847133757962,0.07643312101910828,0.08492569002123142,0.09341825902335456,0.0
Walking downstairs,0.11190476190476191,0.17142857142857143,0.6952380952380952,0.02142857142857143,0.0,0.0
Sitting,0.0,0.0,0.0,0.6496945010183299,0.35030549898167007,0.0
Standing,0.0,0.0,0.0,0.06954887218045112,0.9304511278195489,0.0
Laying,0.0,0.0,0.0,0.12849162011173185,0.0,0.8715083798882681
